Scenario_ID,Scenario,Method,Caliper,Max_Abs_SMD,Retention,N_Matched,RMSE,Meets_Threshold
17,"n=500, prev=0.7, low, weak",Fixed-0.5,0.5,0.15239887233743088,0.7136529424611722,106.812,0.2061560084299375,No
17,"n=500, prev=0.7, low, weak",No Caliper,None,0.7747263797513292,1.0,149.903,0.5976590573641263,No
17,"n=500, prev=0.7, low, weak",ACS-Balance,0.282,0.09996001434060463,0.6611760493470528,98.975,0.20854118453115228,Yes
17,"n=500, prev=0.7, low, weak",ACS-Knee,0.715,0.2111937694048655,0.7753128534282326,116.064,0.2448691907973318,No
17,"n=500, prev=0.7, low, weak",ACS-Weighted,1.092,0.30233431244654185,0.8838450837584753,132.454,0.2859497895523442,No
18,"n=500, prev=0.7, low, strong",Fixed-0.1,0.1,0.12522371133444143,0.6220208918178656,93.094,0.251224830680973,No
18,"n=500, prev=0.7, low, strong",Fixed-0.2,0.2,0.12113873398344778,0.6400996553989258,95.796,0.25074961416871666,No
18,"n=500, prev=0.7, low, strong",Fixed-0.5,0.5,0.1522108911292483,0.7115298498133216,106.494,0.31284827604161614,No
18,"n=500, prev=0.7, low, strong",No Caliper,None,0.7784343936296507,1.0,149.852,1.9385655451441073,No
18,"n=500, prev=0.7, low, strong",ACS-Balance,0.274,0.10084932795279433,0.6572707395118603,98.379,0.2637424726970901,No
18,"n=500, prev=0.7, low, strong",ACS-Knee,0.693,0.20512311525846239,0.7670080802974658,114.737,0.5499626309292981,No
18,"n=500, prev=0.7, low, strong",ACS-Weighted,1.096,0.30466322692959874,0.8844233489612784,132.444,0.7798658743348135,No
19,"n=1000, prev=0.3, high, weak",Fixed-0.1,0.1,0.06646003575217777,0.9503567317271246,284.575,0.12300007367133341,Yes
19,"n=1000, prev=0.3, high, weak",Fixed-0.2,0.2,0.06475302685340742,0.9624549727972507,288.205,0.12217472418429902,Yes
19,"n=1000, prev=0.3, high, weak",Fixed-0.5,0.5,0.06398202335406618,0.9770918222433496,292.604,0.12099510893140061,Yes
19,"n=1000, prev=0.3, high, weak",No Caliper,None,0.06990928732126285,1.0,299.538,0.12117035504604193,Yes
19,"n=1000, prev=0.3, high, weak",ACS-Balance,1.436,0.06806352195003086,0.997241214428314,298.707,0.1207686827175743,Yes
19,"n=1000, prev=0.3, high, weak",ACS-Knee,0.908,0.06127214209542916,0.986661385333755,295.505,0.1207574201887996,Yes
19,"n=1000, prev=0.3, high, weak",ACS-Weighted,1.084,0.062312034005188595,0.991241938554071,296.883,0.12062776009242203,Yes
20,"n=1000, prev=0.3, high, strong",Fixed-0.1,0.1,0.06576633069707229,0.9501048696838017,284.48,0.14414293004699422,Yes
20,"n=1000, prev=0.3, high, strong",Fixed-0.2,0.2,0.06386019317998036,0.9619281474264765,288.028,0.14261471599211678,Yes
20,"n=1000, prev=0.3, high, strong",Fixed-0.5,0.5,0.06334193524874936,0.9761862819190548,292.311,0.14239181416664146,Yes
20,"n=1000, prev=0.3, high, strong",No Caliper,None,0.06928332991996652,1.0,299.515,0.15850909001079877,Yes
20,"n=1000, prev=0.3, high, strong",ACS-Balance,1.451,0.06740469382581772,0.9970140821645866,298.617,0.15452702343561373,Yes
20,"n=1000, prev=0.3, high, strong",ACS-Knee,0.913,0.0605058851357494,0.9861826533143758,295.348,0.14689081580520869,Yes
20,"n=1000, prev=0.3, high, strong",ACS-Weighted,1.107,0.06152674997884714,0.9911891484291847,296.846,0.14937082111218794,Yes
21,"n=1000, prev=0.3, medium, weak",Fixed-0.1,0.1,0.07064154062021129,0.817987537115533,245.434,0.1286711613759658,Yes
21,"n=1000, prev=0.3, medium, weak",Fixed-0.2,0.2,0.06946490381820955,0.8295024587221871,248.886,0.12803126773766638,Yes
21,"n=1000, prev=0.3, medium, weak",Fixed-0.5,0.5,0.07327998303459929,0.8643877030169793,259.373,0.12634403844827868,Yes
21,"n=1000, prev=0.3, medium, weak",No Caliper,None,0.16747132818201008,1.0,300.256,0.1631400862608386,No
21,"n=1000, prev=0.3, medium, weak",ACS-Balance,0.931,0.09005111991336281,0.9102366978098733,273.108,0.13055977296267235,Yes
21,"n=1000, prev=0.3, medium, weak",ACS-Knee,0.720,0.0789825493511155,0.8893843133834106,266.871,0.12901373643743574,Yes
21,"n=1000, prev=0.3, medium, weak",ACS-Weighted,0.999,0.09030248075284907,0.9205189533978576,276.253,0.13301905509380713,Yes
22,"n=1000, prev=0.3, medium, strong",Fixed-0.1,0.1,0.0708351142683887,0.8161791436002668,244.5,0.15211425318658311,Yes
22,"n=1000, prev=0.3, medium, strong",Fixed-0.2,0.2,0.06971157324096099,0.8276592333721249,247.94,0.1508808366039951,Yes
22,"n=1000, prev=0.3, medium, strong",Fixed-0.5,0.5,0.07211227022285673,0.8628793017215505,258.502,0.15821354979469338,Yes
22,"n=1000, prev=0.3, medium, strong",No Caliper,None,0.1673540677948808,1.0,299.731,0.41104767136375225,No
22,"n=1000, prev=0.3, medium, strong",ACS-Balance,0.929,0.0898557166630084,0.9100909429991861,272.691,0.21332402659030184,Yes
22,"n=1000, prev=0.3, medium, strong",ACS-Knee,0.732,0.07898227796824822,0.889989656943821,266.6,0.19671085548074224,Yes
22,"n=1000, prev=0.3, medium, strong",ACS-Weighted,0.987,0.08863683752244995,0.9185416139973138,275.19,0.23261320947737324,Yes
23,"n=1000, prev=0.3, low, weak",Fixed-0.1,0.1,0.08626094909922431,0.6348563987682343,190.275,0.14759422625997773,Yes
23,"n=1000, prev=0.3, low, weak",Fixed-0.2,0.2,0.08379758944557526,0.6491669630833299,194.563,0.1452148987579459,Yes
23,"n=1000, prev=0.3, low, weak",Fixed-0.5,0.5,0.09805484852557969,0.7098223172844879,212.745,0.14234852552589114,Yes
23,"n=1000, prev=0.3, low, weak",No Caliper,None,0.3299627808282497,1.0,299.859,0.2671577154173426,No
23,"n=1000, prev=0.3, low, weak",ACS-Balance,0.506,0.0917704671307967,0.7109783949075514,213.1,0.14445722518312662,Yes
