scenario_id,n,treatment_prevalence,overlap_name,confounding_name,method,mean_caliper,mean_n_matched,mean_retention,mean_max_smd,sd_max_smd,mean_mean_smd,mean_att,sd_att,mean_bias,mean_abs_bias,mean_mse,coverage_rate,mean_ci_width,rmse
12,500,0.5,low,strong,ACS-Balance,0.35255000000000003,120.178,0.49518361281273204,0.09531662837206971,0.015591851572294067,0.05379616219375425,0.5893965230869898,0.15009673100345428,0.08939652308698974,0.14042756106282564,0.05873338646284749,0.93,0.6626904429340136,0.24234971933725752
12,500,0.5,low,strong,ACS-Knee,0.55365,130.196,0.536448102497458,0.13573115424809437,0.04997587556636308,0.07275546375388009,0.6987428773689227,0.18377431954095838,0.1987428773689227,0.22031187100819033,0.09978230198378386,0.735,0.6423786485533768,0.3158833676909626
12,500,0.5,low,strong,ACS-Weighted,0.97215,153.668,0.6331090829193827,0.2078625550490755,0.10445328713240863,0.13421400063310324,0.9631803942454358,0.30052363294558476,0.4631803942454358,0.46719271257495104,0.32846655782318745,0.327,0.6063442739676131,0.5731200204348016
12,500,0.5,low,strong,Fixed-0.1,0.1,110.678,0.4560300260323629,0.11089757628997662,0.0396106402359811,0.05443262769745522,0.5026943475635692,0.14439226919350212,0.002694347563569156,0.11717167939738962,0.0512023368501139,0.984,0.687954524566564,0.22627933367878272
12,500,0.5,low,strong,Fixed-0.2,0.2,113.804,0.4689052135403694,0.10838871372724038,0.03786405191978509,0.052789443570947885,0.5241088422296214,0.14111468647023453,0.02410884222962138,0.11624169522423383,0.05005181903137186,0.981,0.6787956881628212,0.2237226386206185
12,500,0.5,low,strong,Fixed-0.5,0.5,126.633,0.5217555970879277,0.1281345679596097,0.032882590616033276,0.06109956850348148,0.6564038395928377,0.13397712794102287,0.15640383959283774,0.17009826415743123,0.06927862785686066,0.88,0.6468629774707919,0.2632083354623494
12,500,0.5,low,strong,No Caliper,inf,242.835,1.0,0.706067251515615,0.0732033184731811,0.46438779434258715,2.267905015695106,0.18464102117610928,1.7679050156951064,1.7679050156951064,3.1824578646460826,0.0,0.5956283590317386,1.7839444679266456
13,500,0.7,high,weak,ACS-Balance,0.43189999999999995,144.535,0.9665611998964307,0.08843009503908032,0.016214658477066306,0.04793469390838628,0.5192441451994878,0.11764811942934252,0.019244145199487753,0.09623295786831462,0.029201891282733275,0.961,0.48317029400241657,0.1708856087642645
13,500,0.7,high,weak,ACS-Knee,0.5303,146.055,0.9766794227096305,0.10129561781074138,0.03841418693333278,0.05243141332651724,0.5295783052939129,0.11773452519293803,0.029578305293912907,0.09706830648430995,0.029590498374877896,0.953,0.4809563197206992,0.17201888958738776
13,500,0.7,high,weak,ACS-Weighted,0.6811,147.352,0.985293356217238,0.11145959664460428,0.040871491743805395,0.059625472463927555,0.5443727537914718,0.1187630793337773,0.04437275379147175,0.10183241218020371,0.030831905432184194,0.938,0.4793485535906115,0.17559016325575927
13,500,0.7,high,weak,Fixed-0.1,0.1,138.767,0.9284089553298569,0.09751330700587663,0.03530325190488799,0.04750824398911809,0.49904749094386786,0.12160937549271227,-0.0009525090561321512,0.09699434118572141,0.030386839841902998,0.957,0.49306037165996386,0.17431821431480704
13,500,0.7,high,weak,Fixed-0.2,0.2,141.75,0.9482774753499313,0.09514595409436596,0.034074272537375445,0.04591705156376037,0.5014181042117984,0.11861560716621117,0.0014181042117984684,0.09502030626667593,0.029371563039543944,0.962,0.488210411948827,0.17138133807256828
13,500,0.7,high,weak,Fixed-0.5,0.5,145.152,0.970858084366312,0.10407169199491914,0.03216323013810782,0.04911848977980009,0.522935758229005,0.11567009221295191,0.02293575822900498,0.09463247854108933,0.028856724257716966,0.958,0.48253152764264795,0.16987267072050455
13,500,0.7,high,weak,No Caliper,inf,149.583,1.0,0.3928697628069599,0.0814429827356292,0.22019238071729064,0.7492118065847122,0.12390456546457715,0.2492118065847122,0.2516558563465929,0.09297164852951767,0.479,0.49136476538482254,0.3049125260292166
