Scenario ID,Scenario,Method,Mean Estimate,Bias,RMSE,Coverage,CI Width
28,"n=1000, prev=0.5, medium, strong",ACS-Weighted,N/A,0.3150,0.3807,0.280,0.3918
28,"n=1000, prev=0.5, medium, strong",Fixed-0.1,N/A,0.0058,0.1370,0.981,0.4151
28,"n=1000, prev=0.5, medium, strong",Fixed-0.2,N/A,0.0177,0.1376,0.977,0.4123
28,"n=1000, prev=0.5, medium, strong",Fixed-0.5,N/A,0.1033,0.1698,0.860,0.4030
28,"n=1000, prev=0.5, medium, strong",No Caliper,N/A,1.3543,1.3660,0.000,0.4190
29,"n=1000, prev=0.5, low, weak",ACS-Balance,N/A,0.0390,0.1368,0.922,0.3635
29,"n=1000, prev=0.5, low, weak",ACS-Knee,N/A,0.0480,0.1423,0.891,0.3606
29,"n=1000, prev=0.5, low, weak",ACS-Weighted,N/A,0.1225,0.1875,0.665,0.3348
29,"n=1000, prev=0.5, low, weak",Fixed-0.1,N/A,0.0021,0.1370,0.946,0.3828
29,"n=1000, prev=0.5, low, weak",Fixed-0.2,N/A,0.0081,0.1357,0.960,0.3787
29,"n=1000, prev=0.5, low, weak",Fixed-0.5,N/A,0.0471,0.1377,0.925,0.3599
29,"n=1000, prev=0.5, low, weak",No Caliper,N/A,0.5391,0.5485,0.000,0.2700
30,"n=1000, prev=0.5, low, strong",ACS-Balance,N/A,0.1303,0.2039,0.813,0.4546
30,"n=1000, prev=0.5, low, strong",ACS-Knee,N/A,0.1664,0.2558,0.686,0.4519
30,"n=1000, prev=0.5, low, strong",ACS-Weighted,N/A,0.4174,0.5013,0.209,0.4270
30,"n=1000, prev=0.5, low, strong",Fixed-0.1,N/A,0.0102,0.1576,0.980,0.4758
30,"n=1000, prev=0.5, low, strong",Fixed-0.2,N/A,0.0295,0.1577,0.975,0.4706
30,"n=1000, prev=0.5, low, strong",Fixed-0.5,N/A,0.1575,0.2170,0.764,0.4504
30,"n=1000, prev=0.5, low, strong",No Caliper,N/A,1.7964,1.8046,0.000,0.4206
31,"n=1000, prev=0.7, high, weak",ACS-Balance,N/A,0.0414,0.1273,0.919,0.3349
