Scenario ID,Scenario,Method,Mean Matched,SD Matched,Retention,Max |SMD|,Mean Bias,|Bias|,RMSE,MSE,Coverage
11,"n=500, prev=0.5, low, weak",ACS-Weighted,153.7,N/A,0.632,0.210,0.1366,0.1610,0.2300,N/A,0.748
11,"n=500, prev=0.5, low, weak",Fixed-0.1,110.6,N/A,0.455,0.110,-0.0023,0.1111,0.1964,N/A,0.946
11,"n=500, prev=0.5, low, weak",Fixed-0.2,113.6,N/A,0.467,0.108,0.0041,0.1111,0.1945,N/A,0.951
11,"n=500, prev=0.5, low, weak",Fixed-0.5,126.4,N/A,0.520,0.129,0.0440,0.1098,0.1884,N/A,0.941
11,"n=500, prev=0.5, low, weak",No Caliper,243.2,N/A,1.000,0.709,0.5328,0.5328,0.5518,N/A,0.002
12,"n=500, prev=0.5, low, strong",ACS-Balance,120.2,N/A,0.495,0.095,0.0894,0.1404,0.2423,N/A,0.930
12,"n=500, prev=0.5, low, strong",ACS-Knee,130.2,N/A,0.536,0.136,0.1987,0.2203,0.3159,N/A,0.735
12,"n=500, prev=0.5, low, strong",ACS-Weighted,153.7,N/A,0.633,0.208,0.4632,0.4672,0.5731,N/A,0.327
12,"n=500, prev=0.5, low, strong",Fixed-0.1,110.7,N/A,0.456,0.111,0.0027,0.1172,0.2263,N/A,0.984
12,"n=500, prev=0.5, low, strong",Fixed-0.2,113.8,N/A,0.469,0.108,0.0241,0.1162,0.2237,N/A,0.981
12,"n=500, prev=0.5, low, strong",Fixed-0.5,126.6,N/A,0.522,0.128,0.1564,0.1701,0.2632,N/A,0.880
12,"n=500, prev=0.5, low, strong",No Caliper,242.8,N/A,1.000,0.706,1.7679,1.7679,1.7839,N/A,0.000
13,"n=500, prev=0.7, high, weak",ACS-Balance,144.5,N/A,0.967,0.088,0.0192,0.0962,0.1709,N/A,0.961
13,"n=500, prev=0.7, high, weak",ACS-Knee,146.1,N/A,0.977,0.101,0.0296,0.0971,0.1720,N/A,0.953
13,"n=500, prev=0.7, high, weak",ACS-Weighted,147.4,N/A,0.985,0.111,0.0444,0.1018,0.1756,N/A,0.938
13,"n=500, prev=0.7, high, weak",Fixed-0.1,138.8,N/A,0.928,0.098,-0.0010,0.0970,0.1743,N/A,0.957
13,"n=500, prev=0.7, high, weak",Fixed-0.2,141.8,N/A,0.948,0.095,0.0014,0.0950,0.1714,N/A,0.962
13,"n=500, prev=0.7, high, weak",Fixed-0.5,145.2,N/A,0.971,0.104,0.0229,0.0946,0.1699,N/A,0.958
13,"n=500, prev=0.7, high, weak",No Caliper,149.6,N/A,1.000,0.393,0.2492,0.2517,0.3049,N/A,0.479
14,"n=500, prev=0.7, high, strong",ACS-Balance,144.7,N/A,0.969,0.087,0.0688,0.1283,0.2291,N/A,0.952
14,"n=500, prev=0.7, high, strong",ACS-Knee,146.2,N/A,0.978,0.099,0.1003,0.1465,0.2461,N/A,0.912
14,"n=500, prev=0.7, high, strong",ACS-Weighted,147.2,N/A,0.985,0.109,0.1440,0.1770,0.2757,N/A,0.841
14,"n=500, prev=0.7, high, strong",Fixed-0.1,139.0,N/A,0.930,0.097,-0.0010,0.1104,0.2159,N/A,0.985
14,"n=500, prev=0.7, high, strong",Fixed-0.2,141.9,N/A,0.950,0.095,0.0083,0.1076,0.2125,N/A,0.986
14,"n=500, prev=0.7, high, strong",Fixed-0.5,145.3,N/A,0.972,0.103,0.0808,0.1289,0.2274,N/A,0.957
14,"n=500, prev=0.7, high, strong",No Caliper,149.4,N/A,1.000,0.389,0.8276,0.8276,0.8806,N/A,0.029
15,"n=500, prev=0.7, medium, weak",ACS-Balance,126.0,N/A,0.844,0.093,0.0209,0.1031,0.1846,N/A,0.948
15,"n=500, prev=0.7, medium, weak",ACS-Knee,134.2,N/A,0.899,0.152,0.0729,0.1198,0.1977,N/A,0.885
15,"n=500, prev=0.7, medium, weak",ACS-Weighted,140.1,N/A,0.939,0.188,0.1107,0.1372,0.2104,N/A,0.850
15,"n=500, prev=0.7, medium, weak",Fixed-0.1,119.6,N/A,0.802,0.104,-0.0021,0.1059,0.1891,N/A,0.947
15,"n=500, prev=0.7, medium, weak",Fixed-0.2,122.4,N/A,0.820,0.102,0.0024,0.1030,0.1854,N/A,0.950
15,"n=500, prev=0.7, medium, weak",Fixed-0.5,129.2,N/A,0.866,0.121,0.0371,0.1044,0.1844,N/A,0.941
