Scenario ID,Scenario,Method,Retention,Max |SMD|,Mean |Bias|,RMSE,Coverage,CI Width
16,"n=500, prev=0.7, medium, strong",Fixed-0.1,0.7992,0.1068,0.1096,0.2191,0.98,0.6689
16,"n=500, prev=0.7, medium, strong",Fixed-0.2,0.818,0.1033,0.1098,0.2172,0.98,0.6616
16,"n=500, prev=0.7, medium, strong",Fixed-0.5,0.8637,0.1245,0.1638,0.2573,0.908,0.6484
16,"n=500, prev=0.7, medium, strong",No Caliper,1.0,0.6014,1.45,1.4794,0.0,0.7836
17,"n=500, prev=0.7, low, weak",ACS-Balance,0.6612,0.1,0.1192,0.2085,0.946,0.5794
17,"n=500, prev=0.7, low, weak",ACS-Knee,0.7753,0.2112,0.1611,0.2449,0.801,0.539
17,"n=500, prev=0.7, low, weak",ACS-Weighted,0.8838,0.3023,0.216,0.2859,0.624,0.5053
17,"n=500, prev=0.7, low, weak",Fixed-0.1,0.6248,0.1234,0.1216,0.2145,0.946,0.5966
17,"n=500, prev=0.7, low, weak",Fixed-0.2,0.6431,0.12,0.1213,0.2116,0.941,0.5873
17,"n=500, prev=0.7, low, weak",Fixed-0.5,0.7137,0.1524,0.1205,0.2062,0.935,0.559
17,"n=500, prev=0.7, low, weak",No Caliper,1.0,0.7747,0.5703,0.5977,0.007,0.4948
18,"n=500, prev=0.7, low, strong",ACS-Balance,0.6573,0.1008,0.1536,0.2637,0.951,0.7315
18,"n=500, prev=0.7, low, strong",ACS-Knee,0.767,0.2051,0.396,0.55,0.576,0.6927
18,"n=500, prev=0.7, low, strong",ACS-Weighted,0.8844,0.3047,0.697,0.7799,0.112,0.6568
18,"n=500, prev=0.7, low, strong",Fixed-0.1,0.622,0.1252,0.1294,0.2512,0.975,0.7496
18,"n=500, prev=0.7, low, strong",Fixed-0.2,0.6401,0.1211,0.1341,0.2507,0.975,0.7384
18,"n=500, prev=0.7, low, strong",Fixed-0.5,0.7115,0.1522,0.2167,0.3128,0.813,0.706
18,"n=500, prev=0.7, low, strong",No Caliper,1.0,0.7784,1.9166,1.9386,0.0,0.7787
19,"n=1000, prev=0.3, high, weak",ACS-Balance,0.9972,0.0681,0.069,0.1208,0.95,0.3333
19,"n=1000, prev=0.3, high, weak",ACS-Knee,0.9867,0.0613,0.0687,0.1208,0.948,0.3349
19,"n=1000, prev=0.3, high, weak",ACS-Weighted,0.9912,0.0623,0.0687,0.1206,0.948,0.3342
19,"n=1000, prev=0.3, high, weak",Fixed-0.1,0.9504,0.0665,0.0703,0.123,0.948,0.3411
19,"n=1000, prev=0.3, high, weak",Fixed-0.2,0.9625,0.0648,0.0697,0.1222,0.949,0.3389
19,"n=1000, prev=0.3, high, weak",Fixed-0.5,0.9771,0.064,0.0688,0.121,0.949,0.3364
19,"n=1000, prev=0.3, high, weak",No Caliper,1.0,0.0699,0.0695,0.1212,0.947,0.3329
20,"n=1000, prev=0.3, high, strong",ACS-Balance,0.997,0.0674,0.0869,0.1545,0.951,0.43
20,"n=1000, prev=0.3, high, strong",ACS-Knee,0.9862,0.0605,0.0768,0.1469,0.968,0.4304
20,"n=1000, prev=0.3, high, strong",ACS-Weighted,0.9912,0.0615,0.0806,0.1494,0.96,0.4299
