method,caliper,n_matched,retention,max_smd,mean_smd,att,se,bias,mse,coverage,ci_width,replication,scenario_id,n,treatment_prevalence,overlap_name,overlap_level,confounding_name,confounding_strength
ACS-Weighted,0.9,341,0.682,0.14382405488892855,0.07735828152200798,0.8885628625271158,0.0898517347527751,0.3885628625271158,0.15905443237334935,0.0,0.35347056681437605,13,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,305,0.6301652892561983,0.06020193995858174,0.029468986971888784,0.544290901031471,0.1145284834149635,0.04429090103147104,0.01507845742751113,1.0,0.45073787344621596,14,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,307,0.6342975206611571,0.05758271038731214,0.028608237897549748,0.5187146017319958,0.11281146346909968,0.018714601731995795,0.01307666260802723,1.0,0.44396877840803706,14,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,322,0.6652892561983471,0.0404876491808528,0.028473954607132423,0.6028349960544905,0.11009805055104752,0.10283499605449054,0.022696617148668097,1.0,0.4332097812634274,14,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,484,1.0,0.5409136806703255,0.36115936028057055,1.9061400537354154,0.11171131741193344,1.4061400537354154,1.9897092691569467,0.0,0.4390003737983037,14,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.8,343,0.7086776859504132,0.0961679412508341,0.06223221166100315,0.7447536818958416,0.1086211736142041,0.24475368189584157,0.07170292415889787,0.0,0.4272993268055747,14,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.5,322,0.6652892561983471,0.0404876491808528,0.028473954607132423,0.6028349960544905,0.11009805055104752,0.10283499605449054,0.022696617148668097,1.0,0.4332097812634274,14,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,1.5,401,0.8285123966942148,0.23086785073728294,0.15849792433831944,1.117001535148178,0.10489326391878631,0.6170015351481779,0.39169349119074437,0.0,0.4124219245191352,14,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,300,0.6224066390041494,0.03328401897940517,0.009749905264624338,0.4894491960445763,0.10994280227830981,-0.010550803955423682,0.012198739236913309,1.0,0.4327194050074131,15,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,303,0.6286307053941909,0.026364923215522577,0.014902780499453552,0.49223525533723866,0.11047413272075873,-0.007764744662761336,0.012264825260081696,1.0,0.4347930943852178,15,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,320,0.6639004149377593,0.0670788354340498,0.03797686565851483,0.5602935058313895,0.10856323114946467,0.06029350583138948,0.015421282003051894,1.0,0.42718076547460115,15,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,482,1.0,0.5802712784538905,0.3666260201164408,1.8644202301437351,0.11167095648446303,1.3644202301437351,1.8741129669476382,0.0,0.43884634813367285,15,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.6,328,0.6804979253112033,0.0739231090560297,0.040579210384574564,0.5832133524834074,0.10720242870792031,0.08321335248340744,0.018416822752404548,1.0,0.4217869064244113,15,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.4,314,0.6514522821576764,0.04485316184811283,0.034314278653624845,0.5203895907567448,0.10621380365614014,0.020389590756744846,0.011697107498332623,1.0,0.41796661631396453,15,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,0.6,328,0.6804979253112033,0.0739231090560297,0.040579210384574564,0.5832133524834074,0.10720242870792031,0.08321335248340744,0.018416822752404548,1.0,0.4217869064244113,15,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,295,0.591182364729459,0.04072925156759728,0.020220824041764725,0.49744177056035316,0.10180746515701929,-0.002558229439646842,0.010371304499563572,1.0,0.40072755817903954,16,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,298,0.5971943887775552,0.05380797094154791,0.021604993839549922,0.5275751606439021,0.10239980369092147,0.027575160643902086,0.011246109280476261,1.0,0.40304225333098426,16,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,318,0.6372745490981964,0.0483263743567318,0.024749583594697255,0.580463329418307,0.09824065943263909,0.08046332941830703,0.016125574546838772,1.0,0.3865722121245718,16,1,1000,0.5,medium,0.6,strong,1.0
